Absolute path;Relative path;Class
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0033.txt;..\dataset\good\0033.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0034.txt;..\dataset\good\0034.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0035.txt;..\dataset\good\0035.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0036.txt;..\dataset\good\0036.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0037.txt;..\dataset\good\0037.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0038.txt;..\dataset\good\0038.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0039.txt;..\dataset\good\0039.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0040.txt;..\dataset\good\0040.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0041.txt;..\dataset\good\0041.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0042.txt;..\dataset\good\0042.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0043.txt;..\dataset\good\0043.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0044.txt;..\dataset\good\0044.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0045.txt;..\dataset\good\0045.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0046.txt;..\dataset\good\0046.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0047.txt;..\dataset\good\0047.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0048.txt;..\dataset\good\0048.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0049.txt;..\dataset\good\0049.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0050.txt;..\dataset\good\0050.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0051.txt;..\dataset\good\0051.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0052.txt;..\dataset\good\0052.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0053.txt;..\dataset\good\0053.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0054.txt;..\dataset\good\0054.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0055.txt;..\dataset\good\0055.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0056.txt;..\dataset\good\0056.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0057.txt;..\dataset\good\0057.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0058.txt;..\dataset\good\0058.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0059.txt;..\dataset\good\0059.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0060.txt;..\dataset\good\0060.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0061.txt;..\dataset\good\0061.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0062.txt;..\dataset\good\0062.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0063.txt;..\dataset\good\0063.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0064.txt;..\dataset\good\0064.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0065.txt;..\dataset\good\0065.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0066.txt;..\dataset\good\0066.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0067.txt;..\dataset\good\0067.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0068.txt;..\dataset\good\0068.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0069.txt;..\dataset\good\0069.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0070.txt;..\dataset\good\0070.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0071.txt;..\dataset\good\0071.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0072.txt;..\dataset\good\0072.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0073.txt;..\dataset\good\0073.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0074.txt;..\dataset\good\0074.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0075.txt;..\dataset\good\0075.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0076.txt;..\dataset\good\0076.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0077.txt;..\dataset\good\0077.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0078.txt;..\dataset\good\0078.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0079.txt;..\dataset\good\0079.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0080.txt;..\dataset\good\0080.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0081.txt;..\dataset\good\0081.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0082.txt;..\dataset\good\0082.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0083.txt;..\dataset\good\0083.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0084.txt;..\dataset\good\0084.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0085.txt;..\dataset\good\0085.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0086.txt;..\dataset\good\0086.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0087.txt;..\dataset\good\0087.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0088.txt;..\dataset\good\0088.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0089.txt;..\dataset\good\0089.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0090.txt;..\dataset\good\0090.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0091.txt;..\dataset\good\0091.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0092.txt;..\dataset\good\0092.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0093.txt;..\dataset\good\0093.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0094.txt;..\dataset\good\0094.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0095.txt;..\dataset\good\0095.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0096.txt;..\dataset\good\0096.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0097.txt;..\dataset\good\0097.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0098.txt;..\dataset\good\0098.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0099.txt;..\dataset\good\0099.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0100.txt;..\dataset\good\0100.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0101.txt;..\dataset\good\0101.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0102.txt;..\dataset\good\0102.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0103.txt;..\dataset\good\0103.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0104.txt;..\dataset\good\0104.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0105.txt;..\dataset\good\0105.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0106.txt;..\dataset\good\0106.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0107.txt;..\dataset\good\0107.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0108.txt;..\dataset\good\0108.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0109.txt;..\dataset\good\0109.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0110.txt;..\dataset\good\0110.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0111.txt;..\dataset\good\0111.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0112.txt;..\dataset\good\0112.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0113.txt;..\dataset\good\0113.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0114.txt;..\dataset\good\0114.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0115.txt;..\dataset\good\0115.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0116.txt;..\dataset\good\0116.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0117.txt;..\dataset\good\0117.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0118.txt;..\dataset\good\0118.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0119.txt;..\dataset\good\0119.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0120.txt;..\dataset\good\0120.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0121.txt;..\dataset\good\0121.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0122.txt;..\dataset\good\0122.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0123.txt;..\dataset\good\0123.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0124.txt;..\dataset\good\0124.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0125.txt;..\dataset\good\0125.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0126.txt;..\dataset\good\0126.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0127.txt;..\dataset\good\0127.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0128.txt;..\dataset\good\0128.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0129.txt;..\dataset\good\0129.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0130.txt;..\dataset\good\0130.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0131.txt;..\dataset\good\0131.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0132.txt;..\dataset\good\0132.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0133.txt;..\dataset\good\0133.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0134.txt;..\dataset\good\0134.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0135.txt;..\dataset\good\0135.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0136.txt;..\dataset\good\0136.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0137.txt;..\dataset\good\0137.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0138.txt;..\dataset\good\0138.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0139.txt;..\dataset\good\0139.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0140.txt;..\dataset\good\0140.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0141.txt;..\dataset\good\0141.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0142.txt;..\dataset\good\0142.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0143.txt;..\dataset\good\0143.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0144.txt;..\dataset\good\0144.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0145.txt;..\dataset\good\0145.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0146.txt;..\dataset\good\0146.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0147.txt;..\dataset\good\0147.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0148.txt;..\dataset\good\0148.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0149.txt;..\dataset\good\0149.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0150.txt;..\dataset\good\0150.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0151.txt;..\dataset\good\0151.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0152.txt;..\dataset\good\0152.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0153.txt;..\dataset\good\0153.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0154.txt;..\dataset\good\0154.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0155.txt;..\dataset\good\0155.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0156.txt;..\dataset\good\0156.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0157.txt;..\dataset\good\0157.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0158.txt;..\dataset\good\0158.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0159.txt;..\dataset\good\0159.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0160.txt;..\dataset\good\0160.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0161.txt;..\dataset\good\0161.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0162.txt;..\dataset\good\0162.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0163.txt;..\dataset\good\0163.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0164.txt;..\dataset\good\0164.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0165.txt;..\dataset\good\0165.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0166.txt;..\dataset\good\0166.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0167.txt;..\dataset\good\0167.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0168.txt;..\dataset\good\0168.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0169.txt;..\dataset\good\0169.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0170.txt;..\dataset\good\0170.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0171.txt;..\dataset\good\0171.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0172.txt;..\dataset\good\0172.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0173.txt;..\dataset\good\0173.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0174.txt;..\dataset\good\0174.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0175.txt;..\dataset\good\0175.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0176.txt;..\dataset\good\0176.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0177.txt;..\dataset\good\0177.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0178.txt;..\dataset\good\0178.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0179.txt;..\dataset\good\0179.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0180.txt;..\dataset\good\0180.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0181.txt;..\dataset\good\0181.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0182.txt;..\dataset\good\0182.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0183.txt;..\dataset\good\0183.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0184.txt;..\dataset\good\0184.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0185.txt;..\dataset\good\0185.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0186.txt;..\dataset\good\0186.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0187.txt;..\dataset\good\0187.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0188.txt;..\dataset\good\0188.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0189.txt;..\dataset\good\0189.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0190.txt;..\dataset\good\0190.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0191.txt;..\dataset\good\0191.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0192.txt;..\dataset\good\0192.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0193.txt;..\dataset\good\0193.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0194.txt;..\dataset\good\0194.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0195.txt;..\dataset\good\0195.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0196.txt;..\dataset\good\0196.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0197.txt;..\dataset\good\0197.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0198.txt;..\dataset\good\0198.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0199.txt;..\dataset\good\0199.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0200.txt;..\dataset\good\0200.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0201.txt;..\dataset\good\0201.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0202.txt;..\dataset\good\0202.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0203.txt;..\dataset\good\0203.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0204.txt;..\dataset\good\0204.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0205.txt;..\dataset\good\0205.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0206.txt;..\dataset\good\0206.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0207.txt;..\dataset\good\0207.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0208.txt;..\dataset\good\0208.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0209.txt;..\dataset\good\0209.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0210.txt;..\dataset\good\0210.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0211.txt;..\dataset\good\0211.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0212.txt;..\dataset\good\0212.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0213.txt;..\dataset\good\0213.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0214.txt;..\dataset\good\0214.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0215.txt;..\dataset\good\0215.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0216.txt;..\dataset\good\0216.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0217.txt;..\dataset\good\0217.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0218.txt;..\dataset\good\0218.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0219.txt;..\dataset\good\0219.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0220.txt;..\dataset\good\0220.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0221.txt;..\dataset\good\0221.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0222.txt;..\dataset\good\0222.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0223.txt;..\dataset\good\0223.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0224.txt;..\dataset\good\0224.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0225.txt;..\dataset\good\0225.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0226.txt;..\dataset\good\0226.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0227.txt;..\dataset\good\0227.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0228.txt;..\dataset\good\0228.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0229.txt;..\dataset\good\0229.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0230.txt;..\dataset\good\0230.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0231.txt;..\dataset\good\0231.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0232.txt;..\dataset\good\0232.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0233.txt;..\dataset\good\0233.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0234.txt;..\dataset\good\0234.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0235.txt;..\dataset\good\0235.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0236.txt;..\dataset\good\0236.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0237.txt;..\dataset\good\0237.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0238.txt;..\dataset\good\0238.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0239.txt;..\dataset\good\0239.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0240.txt;..\dataset\good\0240.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0241.txt;..\dataset\good\0241.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0242.txt;..\dataset\good\0242.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0243.txt;..\dataset\good\0243.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0244.txt;..\dataset\good\0244.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0245.txt;..\dataset\good\0245.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0246.txt;..\dataset\good\0246.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0247.txt;..\dataset\good\0247.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0248.txt;..\dataset\good\0248.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0249.txt;..\dataset\good\0249.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0250.txt;..\dataset\good\0250.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0251.txt;..\dataset\good\0251.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0252.txt;..\dataset\good\0252.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0253.txt;..\dataset\good\0253.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0254.txt;..\dataset\good\0254.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0255.txt;..\dataset\good\0255.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0256.txt;..\dataset\good\0256.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0257.txt;..\dataset\good\0257.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0258.txt;..\dataset\good\0258.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0259.txt;..\dataset\good\0259.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0260.txt;..\dataset\good\0260.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0261.txt;..\dataset\good\0261.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0262.txt;..\dataset\good\0262.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0263.txt;..\dataset\good\0263.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0264.txt;..\dataset\good\0264.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0265.txt;..\dataset\good\0265.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0266.txt;..\dataset\good\0266.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0267.txt;..\dataset\good\0267.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0268.txt;..\dataset\good\0268.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0269.txt;..\dataset\good\0269.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0270.txt;..\dataset\good\0270.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0271.txt;..\dataset\good\0271.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0272.txt;..\dataset\good\0272.txt;good
C:\Users\nika\Desktop\python\Labochka_2\dataset\good\0273.txt;..\dataset\good\0273.txt;good
